bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-29,EAST BAY,"","","","",0.0014
"","",2022-04-29,Plummer,"",0.0469,"","",""
"","",2022-04-29,Anderson-Eastside El,"",0.0355,"",8.1427,""
"","",2022-04-29,Sidney 201,0.0036,0.028,19.7573,9.434,0.0
"","",2022-04-29,Bklyn - PS 314,"","","",4.6337,""
"",0.1702,2022-04-29,Horicon Wildlife Are,"",0.0408,17.9143,8.4267,1.0E-4
"","",2022-04-29,Delray Beach,"","",15.6489,7.2,""
"","",2022-04-29,Jeffersonville - Bat,"","","",7.5233,""
"","",2022-04-29,Front Street,"","",26.6991,"",""
"",0.2644,2022-04-29,Sawgrass Lake Park,0.0093,"","","",""
"","",2022-04-29,Idaho City,"","","",2.165,""
0.5325,0.1588,2022-04-29,Howard County Near R,0.0137,"","",3.95,""
"","",2022-04-29,BOSTON-KENMORE,0.0057,"","",3.9067,0.0
"","",2022-04-29,NMH48217,"","","",6.1143,0.0011
"",0.2043,2022-04-29,Millbrook NCore,0.0051,0.0366,16.672,7.724,0.0
"","",2022-04-29,Baker City - Forest,"","","",5.7928,""
"","",2022-04-29,Greensburg,"",0.0284,"",5.756,""
"","",2022-04-29,Smithfield,0.0016,0.0441,"",5.5897,""
"","",2022-04-29,Lincoln,"",0.0335,"",5.7658,""
"","",2022-04-29,East Chicago - Marin,"","","",9.6184,0.0
"","",2022-04-29,Ontario May Roberts,"","","",3.1616,""
"","",2022-04-29,Elgin C1613,"",0.0275,"","",""
"","",2022-04-29,Milwaukee-UWM UPark,0.0029,0.0428,"","",0.001
"","",2022-04-29,Umatilla,"",0.045,"","",""
"","",2022-04-29,Douglas Red Cross,"","",26.5238,"",""
"","",2022-04-29,Durango Complex,"","",35.8077,8.0596,0.0
"","",2022-04-29,Yuma Supersite,"",0.0545,96.1786,32.5595,""
"","",2022-04-29,Archbold Biomedical,"",0.0399,"","",""
"",0.2961,2022-04-29,GT Craig NCore,0.0248,0.0254,48.8641,"",5.0E-4
"","",2022-04-29,Hillsboro - Hare Fie,"","","",4.6856,""
"","",2022-04-29,Jenkins Avenue,0.0129,"",31.325,"",2.0E-4
"","",2022-04-29,Pocomoke City,"","",9.8175,4.9246,""
"","",2022-04-29,Georgia Station,"",0.0571,"","",""
"","",2022-04-29,Burdens Creek,"",0.0331,21.4237,7.8763,""
"","",2022-04-29,Santa Barbara,"",0.0331,28.72,7.2521,""
"","",2022-04-29,Greeley Hospital,"","","",9.4989,""
"","",2022-04-29,Albany,"",0.0315,24.957,7.4289,""
0.2079,0.1144,2022-04-29,HU-Beltsville,0.0073,0.0385,"",4.0635,0.0
"",0.2468,2022-04-29,Boston-Von Hillern,0.01,"","",4.1467,""
"","",2022-04-29,CCNY,"",0.0393,"",2.5048,""
"","",2022-04-29,UNIONCROSS,"",0.0348,"","",""
"",0.0732,2022-04-29,Hawthorne,0.0027,0.0484,21.9677,6.8722,3.0E-4
"","",2022-04-29,Ouray,0.0011,0.0521,"","",""
0.8961,"",2022-04-29,Seattle-10th & Welle,0.0161,"","",4.5392,""
"","",2022-04-29,Preston PM25 BAM,"","","",4.7282,""
"","",2022-04-29,Catawba Indian Natio,"",0.0114,"",11.4231,""
"","",2022-04-29,Great Basin NP,"",0.0561,"","",""
"","",2022-04-29,Yosemite NP Turtleba,"",0.056,"","",""
"","",2022-04-29,Truckee BAM,"","","",7.7,""
"",0.5799,2022-04-29,Anaheim Near Road,0.0188,"","","",""
"","",2022-04-29,Lake City,"",0.0499,"",11.6115,""
"",0.0394,2022-04-29,Winter Park,"",0.0513,"",8.976,0.001
"","",2022-04-29,Meraux,"",0.0271,"","",""
"","",2022-04-29,Keene,"",0.0421,"",2.5263,""
"",0.0439,2022-04-29,Taft NCore,0.0055,0.0418,19.0485,6.7398,4.0E-4
"",0.1733,2022-04-29,Portland - SE Lafaye,0.005,0.0301,"",3.9864,0.0
"","",2022-04-29,"Clinton, Rainbow Par","",0.0265,"","",""
"","",2022-04-29,Sacaton,"",0.0446,41.8155,"",""
"","",2022-04-29,Gilory - 9th Street,"",0.0339,"",6.9059,""
"",0.1491,2022-04-29,Hartford,0.0036,"",12.3214,4.258,""
"","",2022-04-29,Soda Springs PM25,"","","",5.3029,""
"","",2022-04-29,PORT HURON,"",0.0321,"",6.324,0.0026
"","",2022-04-29,Liberty High School,"",0.0592,90.8482,17.2955,""
"","",2022-04-29,Seiling,"",0.0392,16.808,7.4512,""
"","",2022-04-29,NEA,"",0.0439,"","",""
"","",2022-04-29,Rio Vista,"","","",5.0132,""
"",0.0698,2022-04-29,Cheyenne NCore,0.0024,0.0454,26.8769,8.3898,1.0E-4
"","",2022-04-29,High School,"",0.0412,45.0874,"",""
"","",2022-04-29,Fort Bragg High Scho,"","",10.144,"",""
"","",2022-04-29,GreenValley,"",0.0548,84.7679,16.0929,""
"","",2022-04-29,Chaco Culture Nation,0.0,0.0571,"","",""
"","",2022-04-29,Blair,"","","",6.2857,""
"",0.1219,2022-04-29,NCORE - Bishop,"",0.0547,37.1748,7.6748,0.0
"","",2022-04-29,Hanford - S. Irwin S,"",0.0394,28.9765,5.9882,""
"","",2022-04-29,Redding,"",0.0475,"",3.856,""
"","",2022-04-29,Fl. Baptist Children,"",0.0429,23.5577,9.025,""
"","",2022-04-29,Santa Teresa,0.0047,0.0421,"",4.312,""
"","",2022-04-29,BUSHYFRK,"",0.0363,"","",""
"",0.1804,2022-04-29,Lindon,0.0018,0.0497,"",7.3103,""
"",0.3701,2022-04-29,Harrisville,0.0017,0.0473,24.3093,5.2227,""
"","",2022-04-29,Walla Walla-12th St,"","","",2.4069,""
"","",2022-04-29,Potosi,"","","",12.7867,""
"","",2022-04-29,Santa Maria,"","",19.664,10.3509,""
"","",2022-04-29,Jackson SLAMS,"","",5.7231,1.7692,""
"","",2022-04-29,Cashmere Mobile,"","","",4.0667,""
"","",2022-04-29,Vacaville,"",0.0363,"",4.3553,""
"","",2022-04-29,Scott County Park,"",0.0253,"","",""
"",0.2964,2022-04-29,Blue Ridge I-70,0.0075,"","",9.5301,""
"","",2022-04-29,Cedar Creek,"",0.0461,"","",""
"","",2022-04-29,WYLAM,"","",38.8131,19.7645,""
"","",2022-04-29,Parkgate (Eagle Rive,"","",29.2475,"",""
"","",2022-04-29,StJohns,"",0.0433,39.2427,"",""
"","",2022-04-29,Geronimo,"","",35.165,11.4369,""
"","",2022-04-29,Rocky Flats - N - 16,"",0.0571,"","",""
"","",2022-04-29,Kona,"","","",5.2222,2.0E-4
"","",2022-04-29,Hammond-167th St,"","","",8.0932,""
"","",2022-04-29,Rutgers University,0.0042,0.0418,"",4.5289,""
"","",2022-04-29,White Plains,"",0.0424,"",2.1,""
"","",2022-04-29,JAMESVIL,"",0.0305,9.232,"",0.001
"",0.1738,2022-04-29,NEW,0.012,0.0378,29.767,6.1243,1.0E-4
"","",2022-04-29,Portland McDaniel Hi,"","","",4.4504,""
"","",2022-04-29,Rockingham,0.0131,0.0276,"","",0.001
"","",2022-04-29,Bakersfield - Califo,0.0021,0.0389,"",5.625,""
"","",2022-04-29,Beltsville,"",0.0477,"","",""
"","",2022-04-29,Palo Duro,"",0.0579,"","",""
"","",2022-04-29,CasaBlanca,"","",54.2913,"",""
"","",2022-04-29,Fresno - Drummond St,0.0072,0.0394,29.9294,"",""
"","",2022-04-29,Folsom,0.001,0.0393,"",6.4909,""
"","",2022-04-29,St. Petersburg Colle,"",0.0488,"",8.6587,""
"","",2022-04-29,Columbus Airport,"",0.0462,25.2816,12.9039,""
"","",2022-04-29,PEORIA_J,"","","",10.9786,""
"","",2022-04-29,Evansville-Buena Vis,0.0047,0.0432,22.5728,9.0854,0.0021
"","",2022-04-29,ETOWN2,"",0.0444,"",7.7976,""
"",0.1562,2022-04-29,Sunrise Acres,"","","","",""
"","",2022-04-29,Mt. Washington base,"",0.0435,"","",""
"","",2022-04-29,Chesterfield,"",0.0419,"",11.2283,""
"","",2022-04-29,Beloit-Converse,"",0.0288,"","",""
"","",2022-04-29,KS Hawaii,"","","",2.6333,0.0
"",0.2603,2022-04-29,Salinas AMS,0.0035,0.0359,"",5.5207,""
0.0,"",2022-04-29,Arden Arcade - Del P,0.003,0.034,"",6.8254,5.0E-4
"","",2022-04-29,Denver Swansea Eleme,"","",72.5753,"",""
"","",2022-04-29,Haverhill,"",0.0431,"",3.6912,""
"","",2022-04-29,E Syracuse,"",0.0403,"","",""
"","",2022-04-29,Reynoldsburg,"",0.0407,"","",""
"","",2022-04-29,Kennewick-S Clodfelt,"",0.0393,"","",""
"","",2022-04-29,Niland - English Roa,"",0.0287,139.2727,"",""
"","",2022-04-29,Longmont,"","","",8.067,""
"","",2022-04-29,Leslie,"",0.0447,"","",""
"","",2022-04-29,Hilo,"","","",3.5778,0.0
"","",2022-04-29,Ogden Dunes,"",0.0363,"","",""
"","",2022-04-29,Inglefield,"",0.0452,"","",""
"","",2022-04-29,Monroe,"",0.0412,"","",""
"","",2022-04-29,Presque Isle Riversi,"","",0.5679,0.5802,""
"","",2022-04-29,TECUMSEH,"",0.0395,"",5.4317,""
"","",2022-04-29,NEW HAVEN,"",0.0305,"",6.6492,""
"","",2022-04-29,Leech Lake Nation: C,"","","",7.746,""
"","",2022-04-29,MENDNHAL,"",0.036,12.336,6.664,""
"","",2022-04-29,MONROEMS,"",0.0392,"","",""
"","",2022-04-29,Spanish Fork,0.0014,0.0479,"",7.501,""
"","",2022-04-29,Sheridan,"",0.0374,"","",""
"","",2022-04-29,NewCastle,"",0.0382,"","",""
"",0.0933,2022-04-29,Elizabeth,"","","","",0.0
"","",2022-04-29,Denali NPP,"",0.0445,"","",""
"",0.1825,2022-04-29,Fresno - Garland,0.0037,0.0342,25.3077,6.8769,0.0
"","",2022-04-29,Banning - South Hath,0.0033,0.0515,"",18.915,""
"","",2022-04-29,KILLENS,"",0.0382,"",4.6893,""
"","",2022-04-29,Kokomo - E. Vaile Av,"",0.0305,"","",""
"","",2022-04-29,Mille Lacs,"",0.0345,"","",""
"","",2022-04-29,Lacrosse-Hill St,"","","",2.9814,""
"","",2022-04-29,Daniel South,7.0E-4,0.0457,3.9538,"",""
"","",2022-04-29,CHICK.,"",0.0281,"",13.3951,0.0
"","",2022-04-29,PUBLIC HEALTH,"",0.0263,"",12.9795,0.0019
"","",2022-04-29,Shafter - Walker Str,0.0115,0.02,"","",""
"","",2022-04-29,TARRANT,"",0.035,"","",""
"","",2022-04-29,Elk Grove,0.0029,0.025,"",4.9365,""
"","",2022-04-29,Savannah L&A,"","",46.9223,13.5757,1.0E-4
"","",2022-04-29,Sedgwick,"",0.035,"","",""
"","",2022-04-29,City Park,"","","",10.025,""
"","",2022-04-29,Walter Johnson,"",0.0594,81.8125,15.0205,""
"","",2022-04-29,Portland - Spangler,"","","",8.7904,""
"","",2022-04-29,Branch Street,"","",75.8692,16.9953,""
"","",2022-04-29,Paso Robles - Santa,"",0.047,16.6,"",""
"",0.2006,2022-04-29,Greeley - Weld Co. T,"",0.0439,"","",""
"","",2022-04-29,Groton,"",0.0417,10.4196,3.925,""
"","",2022-04-29,John A. Chesnut Sr.,"",0.0471,"",10.0788,""
"","",2022-04-29,NORTHBRK,"",0.0346,"",8.103,""
"","",2022-04-29,BRAIDWD,"",0.0311,"",8.8233,""
"","",2022-04-29,Spanish Springs,"",0.0434,20.5922,7.6019,""
"","",2022-04-29,Middleport,"",0.0381,"","",""
"","",2022-04-29,New Albany,"",0.0408,"",4.7816,""
"","",2022-04-29,P2,0.0021,0.0543,25.1591,7.2523,""
0.3227,0.2431,2022-04-29,MILWAUKEE COLLEGE AV,0.0067,"",16.4667,7.9333,""
"","",2022-04-29,Johnson County,3.0E-4,0.0372,5.8923,"",""
"","",2022-04-29,Casper Gaseous,0.0026,0.0436,"",5.3846,""
"","",2022-04-29,Lake Montebello,0.0075,0.0388,"",2.1746,""
"","",2022-04-29,Loretto,"","","",13.2212,""
"","",2022-04-29,Rider Trail I-70,0.0149,"","","",2.0E-4
"","",2022-04-29,Kane Exp. Forest,"",0.0486,"","",""
"","",2022-04-29,Cle Elum Mobile,"","","",3.2628,""
"","",2022-04-29,Edison,0.0065,0.0402,"","",""
"",0.3038,2022-04-29,Pico Rivera,0.0167,0.0306,"","",""
"","",2022-04-29,Bridgeport,"","","",4.2759,0.0
"","",2022-04-29,Gardiner High School,"",0.0389,"","",""
"","",2022-04-29,Holden,"",0.0362,"","",""
"","",2022-04-29,Calvert,"",0.0359,"","",""
"","",2022-04-29,Grand Portage,"","","",1.7438,""
"",0.5129,2022-04-29,Minneapolis-Downtown,"","","","",1.0E-4
"","",2022-04-29,Carlsbad,4.0E-4,0.0542,"","",""
"","",2022-04-29,Williamson,"",0.0402,"","",""
"","",2022-04-29,Sheffield,"",0.0222,"","",""
"","",2022-04-29,Norristown,"",0.0461,"",4.648,""
"","",2022-04-29,Rose Elementary,"",0.0402,"",10.6699,""
"","",2022-04-29,Maricopa,"","",43.7864,"",""
"","",2022-04-29,Corcoran,"","",37.0244,8.0488,""
"","",2022-04-29,Davis - UCD Campus,0.0018,0.0421,"",2.1071,""
"","",2022-04-29,CICERO,"",0.0228,"","",""
"","",2022-04-29,East St. Louis,"",0.0269,"",12.7388,""
"","",2022-04-29,Helmsburg,"",0.038,"","",""
"","",2022-04-29,Rossiter Pump House,"","","",5.6515,""
"",0.3573,2022-04-29,Smoky Row Near Road,0.0109,"","",7.3485,""
"","",2022-04-29,Bowling Green,"",0.0378,"","",""
"","",2022-04-29,Albany - Calapooia S,"","","",2.5344,""
"",0.1798,2022-04-29,MATH & SCIENCE CTR,0.0072,0.0337,"",5.9456,0.0
"","",2022-04-29,Issaquah-Lake Sammam,"",0.0243,"","",""
"","",2022-04-29,GREEN BAY UW,"",0.0437,"","",""
"","",2022-04-29,MILWAUKEE 16TH ST,"",0.0371,"",8.5695,""
"","",2022-04-29,Grand Canyon ozone b,"",0.0607,"",9.6692,""
"","",2022-04-29,Wade School,"",0.0338,"","",""
"","",2022-04-29,Indio-29 Palms,"",0.0532,149.6707,22.3971,""
"","",2022-04-29,Coachline,"",0.0425,"",9.4951,""
"","",2022-04-29,GANDY,"",0.0468,"",10.6988,""
"","",2022-04-29,Pocatello STP,"","","","",0.0023
"","",2022-04-29,Dodge City,"","",25.336,"",""
"","",2022-04-29,Shakopee,"",0.0287,"",11.9048,""
"","",2022-04-29,Eugene - Highway 99,"","","",2.3248,""
"","",2022-04-29,Ellensburg-Ruby St,"","","",2.1863,""
"","",2022-04-29,SPRNGDLE,"",0.0412,"",10.0567,""
"","",2022-04-29,Keeler,"","",36.6408,10.7515,""
"","",2022-04-29,Goleta,"",0.0328,26.056,6.912,""
"",0.1785,2022-04-29,MLK,"","","","",1.0E-4
"","",2022-04-29,NR-285,0.0147,"","","",""
"","",2022-04-29,COGGON,"",0.0237,"","",""
"","",2022-04-29,Acadia NP - McFarlan,"",0.0372,"",0.7556,0.0
"","",2022-04-29,Virginia,"","","",4.7619,""
"","",2022-04-29,Waterville,"",0.0371,"","",""
"","",2022-04-29,Toms River,"","","",3.1944,""
"",0.1253,2022-04-29,La Habra,0.0077,0.0401,"","",""
"","",2022-04-29,Mesa 2 /Nipomo,"","",59.728,14.952,0.0011
"","",2022-04-29,LANSING,0.0085,0.0337,"",7.6738,0.0029
"","",2022-04-29,GREEN BAY E HIGH,"","","",7.001,6.0E-4
"","",2022-04-29,Cut Bank,"","","",3.8085,""
"","",2022-04-29,Wetumpka Tech Park,"",0.03,"","",""
"","",2022-04-29,BROADWAY (South),"","","",9.1386,""
"","",2022-04-29,Colfax,"",0.0425,"",8.9706,""
"","",2022-04-29,Pinnacles NM,"",0.041,"","",""
"","",2022-04-29,TracyAP,0.002,0.0408,12.4471,1.8706,""
"","",2022-04-29,LUMS 2,"",0.0378,"",6.1252,""
"","",2022-04-29,Salmon PM2.5,"","","",4.9785,""
"",0.4233,2022-04-29,ELIZA HOWELL-NR,0.0201,"","",11.2127,""
"","",2022-04-29,Blythe,"",0.0475,"","",""
"",0.1819,2022-04-29,NCore,"",0.0308,27.9208,3.6832,0.0019
"","",2022-04-29,Zuni Hills,"","",56.0769,"",""
"","",2022-04-29,Children's Park Site,"",0.0459,"",9.1748,""
"","",2022-04-29,Hawaii Volcanoes NP,"","","","",0.0
"","",2022-04-29,Maspeth,"","","",2.0029,""
"","",2022-04-29,LESTER BUILDING SYST,"",0.039,"",5.2971,""
"","",2022-04-29,Yacolt-Yacolt Rd,"","","",2.6186,""
"","",2022-04-29,Long Beach Signal Hi,0.0079,0.0407,30.8981,13.4574,4.0E-4
"","",2022-04-29,Platteville Atmosphe,0.0025,0.044,"","",""
"","",2022-04-29,Rockville,"",0.0383,"",6.525,""
"","",2022-04-29,BONTERRE,"",0.0444,"","",""
"","",2022-04-29,Lapwai,"","","",2.9167,""
"","",2022-04-29,Glendale Community C,"",0.0454,33.3942,9.1942,""
"","",2022-04-29,St. Andrews Park,"",0.046,"",12.2779,""
"","",2022-04-29,Augusta,"",0.0297,29.4466,15.9146,0.001
"",0.1859,2022-04-29,Kapolei,0.0034,"",19.7889,5.4778,0.0
"","",2022-04-29,Cove - City Hall,"","","",3.4848,""
"","",2022-04-29,Bellevue-SE 12th,"","","",2.4775,""
"","",2022-04-29,N/A,"",0.0314,"","",""
"","",2022-04-29,New Milford,"","","",4.1256,""
"",0.0144,2022-04-29,NR,0.0049,0.0416,"",7.4454,""
"","",2022-04-29,Port Clyde,"",0.0381,"","",""
"","",2022-04-29,Glenpool,"",0.0358,14.976,7.992,""
"","",2022-04-29,Lancaster DW,"",0.0362,"",8.5704,""
"","",2022-04-29,SHELBY FARMS,"",0.0458,"",12.0435,""
"","",2022-04-29,Hurricane,0.0036,0.0569,"",12.8711,""
"","",2022-04-29,Chiloquin,"","","",2.7088,""
"","",2022-04-29,San Andreas,"",0.0371,10.2656,5.9219,""
"","",2022-04-29,Stockton,"",0.0328,"","",""
"","",2022-04-29,FRAYSER,"",0.0515,"","",""
"","",2022-04-29,CARPENTER,"",0.0397,"",8.51,""
"","",2022-04-29,Virgin Valley,"",0.056,60.2411,12.9777,""
"","",2022-04-29,Ward,"",0.0172,"",16.0437,1.0E-4
"","",2022-04-29,WORTH2002,"",0.0425,"","",""
"","",2022-04-29,Paw Park,"",0.0408,19.9327,"",""
"","",2022-04-29,HOUGHTON LAKE,0.0,0.0437,"",8.456,""
"","",2022-04-29,PITTAGCT,"",0.0299,"",5.488,""
"","",2022-04-29,Freels,"",0.0362,"","",""
"","",2022-04-29,LOUDONMS,"",0.028,"",10.4615,""
"","",2022-04-29,Paonia,0.0018,0.0476,19.5833,7.4667,""
"","",2022-04-29,Maryland Heights,"",0.0365,"","",""
0.1526,0.215,2022-04-29,McMillan Reservoir,0.0056,0.0489,16.24,2.7231,""
"","",2022-04-29,McDonough,"",0.0407,"",13.8806,""
"","",2022-04-29,WATSON,"",0.0426,17.4643,7.2598,7.0E-4
"",0.3416,2022-04-29,Minneapolis-Near Roa,0.007,0.0265,"",9.1825,""
"","",2022-04-29,JOHNSTON,"",0.032,"",8.08,""
"","",2022-04-29,Eastlake,"",0.0291,"","",""
"","",2022-04-29,Trenton,"",0.0441,"",12.0151,3.0E-4
"","",2022-04-29,Jersey City FH,"","","",3.1583,""
"","",2022-04-29,Miami Town Site,"","","","",7.0E-4
"","",2022-04-29,Joshua Tree NP - Cot,"",0.0593,"","",""
"","",2022-04-29,SIMMONS PARK,"",0.0437,"","",""
"","",2022-04-29,Ketchum,"","","",4.6699,""
"","",2022-04-29,CHI_SP,"","","",8.8684,""
"","",2022-04-29,JERSEYVL,"",0.0347,"",11.0359,""
"","",2022-04-29,WY/KC,0.005,0.0326,24.0,11.0025,5.0E-4
"","",2022-04-29,East Bethel,"",0.0335,"","",""
"","",2022-04-29,Ponca City,"","",24.4608,8.5744,1.0E-4
"","",2022-04-29,Scranton,"",0.0365,"",4.5782,""
"","",2022-04-29,Pierre,"","","",7.6553,""
"","",2022-04-29,Dayton-W Main,"","","",2.4093,""
"","",2022-04-29,Big Bear,"","","",7.2926,""
"","",2022-04-29,WEIRTON,"",0.0436,"","",""
"","",2022-04-29,South Long Beach,"","","",15.387,""
"","",2022-04-29,Anderson,"",0.0339,"","",""
"","",2022-04-29,Aurora East,"",0.0526,"","",""
"","",2022-04-29,Danbury,"",0.0456,17.9464,4.4795,""
"","",2022-04-29,NKU,"",0.0376,"",5.808,""
"","",2022-04-29,Colliers Mills,"",0.0469,"","",""
"","",2022-04-29,Rockland Cty,"",0.0453,"",2.0896,""
"","",2022-04-29,Yukon,"",0.0319,"","",""
"",0.1963,2022-04-29,MON,0.0045,"","","",""
"","",2022-04-29,Florence,"",0.0366,"",5.5472,""
"","",2022-04-29,Johnstown,"",0.0371,"",7.7808,""
"","",2022-04-29,Dinosaur National Mo,"",0.0521,"","",""
"",0.351,2022-04-29,Pleasanton - Owens C,0.0097,"","",7.3704,""
"","",2022-04-29,South Lake Tahoe - S,"","",10.699,"",""
"","",2022-04-29,Alpine,"",0.0536,"",10.6944,""
"","",2022-04-29,Santa Ynez,"",0.0364,"",5.4677,""
"","",2022-04-29,Chatfield Park - 115,"",0.0542,"",7.4713,""
"","",2022-04-29,Sandpoint U of I,"","",18.4257,6.8812,""
"",0.176,2022-04-29,GRAND RAPIDS,"",0.0399,20.386,7.0895,0.0017
"","",2022-04-29,St. Michael,"",0.0305,"",9.3175,""
"","",2022-04-29,Cookeville,"","","",11.8173,""
"","",2022-04-29,Clarkston-13th St,"","","",4.05,""
"","",2022-04-29,Tacoma-S 36th St,0.0121,"","",4.0686,""
"","",2022-04-29,MARION,"",0.0464,"",12.3425,""
"","",2022-04-29,LEWISPOR,"",0.045,"","",""
"","",2022-04-29,Cave Creek,"",0.0528,"","",""
"","",2022-04-29,Barstow,"",0.0507,42.7477,"",""
"","",2022-04-29,7004,0.0023,0.0404,"","",0.001
"","",2022-04-29,V_VIEW,"",0.0247,"",7.584,""
"","",2022-04-29,Cisco Drive,"",0.0342,"","",""
"","",2022-04-29,Brunswick,"",0.0439,23.5922,9.3786,""
"","",2022-04-29,QUINCY,"",0.0395,"","",""
"","",2022-04-29,Cicero2,"","","",8.4529,""
"","",2022-04-29,Vinton,"",0.0458,"","",""
"","",2022-04-29,CLEVELAND,"",0.0476,"",11.7961,""
"","",2022-04-29,Canton DRR,"","","","",0.0021
"","",2022-04-29,Eloy,"","",38.5146,"",""
"","",2022-04-29,Shell Cut,"","",27.1262,"",""
"","",2022-04-29,Lewiston,"","","",4.3152,""
"","",2022-04-29,GC_MAD,"","","",10.303,""
"","",2022-04-29,LYNN,0.0012,0.0432,"","",""
"","",2022-04-29,Berea BOE,"",0.0251,"","",""
"",0.1659,2022-04-29,Seattle-Beacon Hill,0.0078,0.0349,"",3.0196,0.0
"","",2022-04-29,New Castle,"",0.0342,"","",""
"",0.2923,2022-04-29,Buckeye,0.006,0.0423,53.3846,"",""
"","",2022-04-29,Yosemite Village - V,"","",10.835,5.2621,""
"",0.2381,2022-04-29,Sebastopol,0.0036,0.03,"",5.1605,""
"","",2022-04-29,Mandarin,"","",20.5714,8.9536,""
"","",2022-04-29,FBHWWTP,"","","","",0.001
"","",2022-04-29,Bayou Plaquemine,"",0.0404,"","",""
"","",2022-04-29,Marine on St. Croix,"",0.0323,"","",""
"","",2022-04-29,Bozeman High School,"","","",5.5631,""
"","",2022-04-29,Brigantine,"",0.044,"",3.7485,0.0
"","",2022-04-29,BAYVIEW,"","","","",0.0
"","",2022-04-29,HANOVER,"",0.0321,"","",""
"","",2022-04-29,Shenandoah NP,"",0.05,"",3.9282,""
"","",2022-04-29,Sheboygan-Haven,"",0.0447,"","",""
"","",2022-04-29,Bastrop C1612,"",0.0298,"","",""
"","",2022-04-29,Thirty Third,0.025,"","","",""
"","",2022-04-29,Humboldt Mountain -,"",0.0622,"","",""
"",0.269,2022-04-29,San Francisco,0.0118,0.031,"",8.6118,""
"","",2022-04-29,Amherst,"",0.0284,"","",""
"","",2022-04-29,BDED,"","","",10.3821,""
"","",2022-04-29,Pomeroy-Pataha St,"","","",2.3918,""
"","",2022-04-29,Perkinstown,"",0.0493,"","",""
"","",2022-04-29,Miami Jones Ranch,"","","","",0.001
"","",2022-04-29,Maricopa - Stanilaus,"",0.0474,"","",""
"",0.1723,2022-04-29,Lake Elsinore - W. F,0.0015,0.0518,28.1308,8.8869,""
"","",2022-04-29,Hesperia - Olive Str,"",0.0476,33.951,"",""
"","",2022-04-29,Dayville,"",0.0446,"","",6.0E-4
"","",2022-04-29,KNI-Topeka,"",0.0326,24.816,10.7424,""
"","",2022-04-29,Glen Burnie,"",0.0283,"","",""
"","",2022-04-29,Mt Rainier- Jackson,"",0.046,"","",""
"","",2022-04-29,Yellowstone- Old Fai,0.0014,"","",3.044,""
"","",2022-04-29,Spokane-E Broadway A,"","",8.2059,2.5784,""
"","",2022-04-29,Shuttlesworth,"","",51.4112,20.3336,""
"","",2022-04-29,ADEQ-DSR,"","","",12.5359,""
"","",2022-04-29,Ocean View,"","","",6.5663,0.0051
"","",2022-04-29,ODOT Ironton,"",0.039,"",5.3602,0.0
"","",2022-04-29,BV,0.0015,0.0485,"",5.0887,""
"","",2022-04-29,MADISON EAST,"",0.0326,"",9.3314,6.0E-4
"","",2022-04-29,Boulder,9.0E-4,0.0447,"","",""
"","",2022-04-29,Hillcrest HS,"",0.0417,21.2301,7.3248,""
"","",2022-04-29,MTSP,0.0024,0.0404,11.8611,"",0.0024
"","",2022-04-29,Colville-E 1st St,"","",19.2366,4.8387,""
"",0.0,2022-04-29,Jersey City,0.0058,"","","",0.0
"",0.232,2022-04-29,Redwood City,0.008,0.0319,"",7.2941,""
"",0.2702,2022-04-29,Pepsi Place,0.012,"","",9.3381,""
"","",2022-04-29,Santa Fe Airport,"",0.0518,"",12.5926,""
"","",2022-04-29,Theodore Roosevelt N,"",0.0323,"",9.0154,""
"","",2022-04-29,Choctaw,"",0.0321,"","",""
"","",2022-04-29,BVILLE,"",0.0481,"","",""
"","",2022-04-29,Yakima-4th Ave,"","",9.951,4.7941,""
"","",2022-04-29,Pinedale Gaseous,0.0011,0.0437,"",2.3846,""
"","",2022-04-29,Parsons,"",0.0438,"","",""
"","",2022-04-29,Tuscan Butte (Season,"",0.0478,"","",""
"","",2022-04-29,Manitou Springs,"",0.0604,"","",""
"","",2022-04-29,Leo HS,"",0.0392,"","",""
"","",2022-04-29,ROSE LAKE,"",0.0345,"","",""
"","",2022-04-29,Seeley Elementary Sc,"","","",6.9306,""
"","",2022-04-29,Tonawanda II,"","","",4.0385,""
"","",2022-04-29,Taylorsville Liledou,"",0.0355,"","",""
"","",2022-04-29,Redwash,8.0E-4,0.059,"","",""
"","",2022-04-29,Kenosha-Water Tower,"",0.0361,"","",""
"","",2022-04-29,ROCKWELL,0.0031,0.0341,"",9.96,""
"","",2022-04-29,KALAMAZOO,"",0.0436,"",8.3087,""
"","",2022-04-29,Mountains Edge,"",0.0551,74.0714,14.6696,""
"","",2022-04-29,Eugene - Amazon Park,"",0.041,"",1.7697,""
"","",2022-04-29,EASTKNOX,"",0.041,"","",""
"","",2022-04-29,Madison University A,"","",19.3619,10.4314,""
"","",2022-04-29,Woodland,"",0.0361,"",4.4605,""
"","",2022-04-29,Orchard Farm,"",0.0344,"","",""
"",0.2911,2022-04-29,BLAIR STREET,0.0223,0.0252,36.6018,12.0234,8.0E-4
"","",2022-04-29,Otay Mesa - Donovan,"",0.0455,"",14.7944,""
"","",2022-04-29,LWATTOWR,"","","",9.376,""
"","",2022-04-29,Longview-30th Ave,"","","",3.5363,""
"","",2022-04-29,APPLETON AAL,"",0.0439,"",8.0619,""
"","",2022-04-29,Racine-Payne and Dol,"",0.0412,"","",""
