bc,co,date,location,no2,o3,pm10,pm25,so2
"",0.2519,2022-04-29,West Phoenix,0.0104,0.043,34.625,10.7654,""
"",0.3021,2022-04-29,Pasadena,0.0101,0.0359,"","",""
"",0.2847,2022-04-29,San Rafael,0.0075,0.0336,"",5.6667,""
"",0.2794,2022-04-29,Anaheim,0.0069,0.0395,27.3889,13.1861,""
"",0.3037,2022-04-29,Ontario Near Road,0.026,"","","",""
"","",2022-04-29,60 Near Road,0.0286,"","","",""
"","",2022-04-29,Belle Glade,"","","",6.7642,""
"","",2022-04-29,Seminole Community C,"",0.0499,24.69,9.157,""
"","",2022-04-29,Savannah East Presid,"",0.0367,"","",0.001
"","",2022-04-29,Bar Harbor - Cadilla,"",0.0351,"","",""
"","",2022-04-29,PASCAGOULA,0.0033,0.0351,"",12.8437,0.0
"","",2022-04-29,M.K. Goddard,"",0.0494,"","",""
"","",2022-04-29,Golden - NREL - 2054,"",0.0557,"","",""
0.5304,0.4561,2022-04-29,Near Road,0.0219,"",25.0536,6.5693,""
"","",2022-04-29,WARE,0.0,0.0465,"",6.525,1.0E-4
"",0.2642,2022-04-29,TRINITY,0.0187,"","",9.6754,0.0016
"","",2022-04-29,Ranchos,"","","",3.9439,""
"","",2022-04-29,COLUMBUS,"",0.035,"","",""
"","",2022-04-29,Dallas LaCreole Midd,"","","",2.2144,""
"","",2022-04-29,Lake Park,0.0024,0.0489,"","",""
"","",2022-04-29,Watkins Mill State P,"",0.0394,"","",""
"","",2022-04-29,Perdue,"",0.0375,"","",""
"","",2022-04-29,North Phoenix,"",0.0475,28.4231,9.4135,""
"",0.209,2022-04-29,Glendora - Laurel,0.0052,0.0403,36.0556,14.0722,""
"","",2022-04-29,"Rangely, CO",0.001,0.0503,"",9.3371,""
"","",2022-04-29,Twin Falls PM25,"","","",4.4757,""
"","",2022-04-29,THOMAS,"",0.0302,"","",""
"","",2022-04-29,Indpls-Harding St,"",0.0376,"","",0.0014
"",0.2893,2022-04-29,Sparks,"",0.0374,18.9223,8.3398,""
"","",2022-04-29,Leonia,"",0.0436,"","",""
"","",2022-04-29,Tramway,"",0.0547,40.6633,9.6327,""
"","",2022-04-29,Moore,"",0.0332,19.5877,7.5891,""
"","",2022-04-29,Princess Anne,"","",10.7302,4.8548,""
0.293,"",2022-04-29,Portland Humboldt Sc,"","","",3.368,""
"","",2022-04-29,Juliaetta,"","","",1.3963,""
"",0.15,2022-04-29,Stockton - Universit,0.0036,0.0389,"",3.2381,""
"","",2022-04-29,Hidden Valley,"","",103.6566,13.2621,""
"","",2022-04-29,Madera - Pump Yard,"",0.0375,"","",""
"",0.2298,2022-04-29,Fontana - Arrow High,0.0148,0.0337,"","",0.0
"","",2022-04-29,Melbourne,"",0.0542,24.3077,9.5529,""
"","",2022-04-29,Blind Services; 1185,"",0.0567,28.4038,10.2346,""
"","",2022-04-29,Valdosta,"","",28.9029,10.3505,""
"","",2022-04-29,Pocatello Garrett an,"",0.042,17.0583,4.2959,""
"","",2022-04-29,Garden Valley,"","","",2.5745,""
"","",2022-04-29,Bangor MSS,"","","",1.4938,""
"",0.0,2022-04-29,ALLEN PARK,"",0.0336,15.9683,5.7738,3.0E-4
"",0.2034,2022-04-29,77th and Dodge,"","","","",""
"","",2022-04-29,Heath,"",0.0395,"","",""
"",0.1657,2022-04-29,Tulsa,0.003,0.0364,21.68,9.1896,4.0E-4
"","",2022-04-29,Research Farm,"",0.0044,12.0097,10.3369,""
